TERM (ENG),ARABIC,HINDI,URDU,TAGALOG,FARSI,NEPALI,BENGALI,MALYALAM
Glossary,قائمة المصطلحات,शब्दावली,فرہنگ,Glosaryo,واژه‌نامه,शब्दकोष,শব্দকোষ,"പദശേഖരം, നിഘണ്ടു"
1,self-determination,تقرير المصير,आत्म-निर्णय,خودمختاری,sariling pagsisikap,خود مختاری,स्वयं-निर्धारण,আত্মসংকল্প,സ്വയം നിർണയം
2,solidarity, تضامن,एकता,یکجہتی,pagkakaisa,انسجام,समन्वय,সংহতি,ഐക്യദാര്‍ഢ്യം
3,uncertainty,الشك,अनिश्चितता,غیر یقینی کیفیت,walang katiyakan,عدم اطمینان,अनिश्चितता,অনিশ্চয়তা,അനിശ്ചിതത്വം
4,crisis,أزمة,संकट,بحران,krisis,بحران,सङ्कट,সংকট,പ്രതിസന്ധി
5,eviction,الإخلاء,निष्कासन,بے دخلی,pagpapaalis sa tinutuluyan,تخلیه,निष्कासन,উচ্ছেদ,കുടിയൊഴിപ്പിക്കൽ
6,displacement,التهجير,स्थानांतरण,بے مقامی,pagkakaalis,جابجایی,विस्थापन,বাস্তুচ্যুতি,"സ്ഥാനമാറ്റം, സ്ഥലംമാറ്റം"
7,erasure,محو,विलोपन,مٹانے کا عمل,pagbubura,محو کردن,मेटाउने,মুছে ফেলা,മായ്‌ക്കൽ
8,fragmentation,تجزئة,विखंडन,ٹکڑے ٹکڑے کرنا,pagwawasak-wasak,قطعه قطعه کردن,खण्डीकरण,বিভাজন,"വിഘടനം, ഛിന്നഭിന്നമാകൽ"
9,distribution,التوزيع,वितरण,تقسیم,pamamahagi,توزیع,वितरण,বিতরণ,വിതരണം
10,adapt,يتكيف,अनुकूलन,موافقت,angkop,تطبیق,अनुकूल बनाउनुहोस्,অভিযোজন,അനുരൂപമാക്കുക
11,participate,المشاركة,भागीदारी,شرکت کرنا,paglalahok,مشارکت کردن,सहभागी,অংশগ্রহণ,പങ്കെടുക്കുക
12,accessibility,التوفر,पहुँच,رسائی,accessibility,دسترس‌پذیری,उपलब्धता,প্রবেশযোগ্যতা,അക്സസബിലിറ്റി
13,community,المجتمع,समुदाय,برادری,komunidad,جامعه,समुदाय,কমিউনিটি,"സമൂഹം, കമ്മ്യൂണിറ്റി"
14,neighbourhood,الحي,आस-पड़ोस,محلہ,neighborhood,محله,छिमेकी,মহল্লা,സമീപപ്രദേശങ്ങൾ
15,suburban,من الضواحى,अर्द्धशहरी,مضافاتی,suburban,برون‌شهری,उपनगरीय,শহরতলিতে,"നഗരപ്രാന്തം, സബർബൻ"
16,urban,حضري,शहरी,شہری,urban,شهری,सहरी,শহুরে,"നാഗരികമായ, അർബൻ"
17,periphery,المحيط,परिधि,نواحی,sa paligid,پیرامون,परिधि,চৌহদ্দি,ചുറ്റളവ്
18,territory,منطقة ,क्षेत्र,علاقہ,teritoryo,قلمرو,क्षेत्र,অঞ্চল,ഭൂപ്രദേശം
19,narrative,سرد,विमर्श,بیانیہ,pagsasalaysay,داستانی,कथा,বর্ণনা,ആഖ്യാനം
20,native,محلي,मूल निवासी,مقامی,katutubo,بومی,निवासी,স্থানীয়,സ്വദേശി
21,citizen,مواطن,नागरिक,شہری,mamamayan,شهروند,नागरिक,নাগরিক,പൗരൻ
22,migrant,مهاجر,प्रवासी, مہاجر,migrante,مهاجر,आप्रवासी,অভিবাসী,കുടിയേറ്റക്കാരൻ
23,foreigner,أجنبي,विदेशी,غیرملکی یا پردیسی,dayuhan,خارجی,विदेशी,বিদেশি,വിദേശി
24,neighbor,الجار,पड़ोसी,پڑوسی,kapitbahay,همسایه,छिमेकी,প্রতিবেশী,"അയൽക്കാരൻ, സമീപവാസി"
25,density,كثافة,घनत्व,کثافت,karamihan,تراکم,घनत्व,ঘনত্ব,സാന്ദ്രത
26,consumption,استهلاك,उपभोग,استعمال,paggamit,مصرف,उपभोग,ভোগ,ഉപഭോഗം
27,segregation,التمييز العنصري,पृथक्करण,غلیحدہ رکھنا,paghihiwalay,تفکیک,अलग,পৃথকীকরণ,വേർതിരിക്കൽ
28,racial bias,التحيز العنصري,जातीय पूर्वाग्रह,نسلی تعصب,kinikilingan ayon sa lahi,تعصب نژادی,जातिय पक्षपात,জাতিগত পক্ষপাত,വംശീയ വിവേചനം
29,hierarchy,التسلسل الهرمي,पदानुक्रम,مراتب کا نظام,hierarkiya,سلسله مراتب,पदक्रम,অনুক্রম,അധികാരശ്രേണി
30,coercion,إجبار,जबरदस्ती,جبر,pamimilit,اجبار,जबरजस्ती,ভীতিপ্রদর্শন,"നിര്‍ബന്ധം, ബലാല്‍ക്കാരം"
31,unregulated,غير منظم,अनियमित,غیر منظم,walang regulasyon,بی‌قانون,अनियन्त्रित,অনিয়ন্ত্রিত,അനിയന്ത്രിതമായ